status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1227709273965597,Odlična ideja!,"VIDEO Poznati političari u trudničkim kostimima obavljaju kućanske poslove, a razlog je sjajan",link,http://www.index.hr/black/clanak/video-hit-na-internetu-poznati-politicari-u-trudnickim-kostimima-obavljaju-kucanske-poslove/924134.aspx,2016-10-06 18:20:01,8,4,0,8,0,0,0,0,0
107861655950370_1227688130634378,Otvoreni sukob Baldasara i Puljak.,"Zaratili oko GUP-a: ""Netko tko kupuje vijećnike kafićima ne može shvatiti što želi Pametno""",link,http://www.index.hr/vijesti/clanak/zaratili-oko-gupa-netko-tko-kupuje-vijecnike-kaficima-ne-moze-shvatiti-sto-zeli-pametno/924162.aspx,2016-10-06 17:30:00,23,4,2,23,0,0,0,0,0
107861655950370_1227708000632391,(Ne)pristojne mušterije i konobari napismeno :),"Isprike, uvrede i rasistički ispadi: Ovo su najluđe poruke na ugostiteljskim računima",link,http://www.index.hr/black/clanak/isprike-uvrede-i-rasisticki-ispadi-ovo-su-najludje-poruke-na-ugostiteljskim-racunima/924160.aspx,2016-10-06 16:55:00,11,1,0,11,0,0,0,0,0
107861655950370_1227709423965582,"""Rock'n'Roll dinosauri"" izdaju novi album. Poslušajte kako zvuči.","VIDEO Rolling Stones izdaju novi album, mnogi će se iznenaditi kad čuju kako zvuči",link,http://www.index.hr/black/clanak/video-rolling-stones-izdaju-novi-album-mnogi-ce-se-iznenaditi-kad-cuju-kako-zvuci/924155.aspx,2016-10-06 16:34:44,29,1,0,25,4,0,0,0,0
107861655950370_1227693373967187,Ovako su navijači još jednom osramotili Hrvatsku.,Index Sport,link,http://www.index.hr/sport/clanak/pogledajte-sramotno-skandiranje-hrvata-i-albanaca-cijeli-stadion-pjevao-ubij-srbina/924165.aspx,2016-10-06 15:57:05,232,167,0,141,11,2,6,32,40
107861655950370_1227690470634144,"""Prevarila sam dečka nekoliko puta s najboljim prijateljem. To je jedna od najgorih stvari koje sam napravila nekoj osobi, ali uopće mi nije žao. Nikad me nije uhvatio.""","Ispovijedi preljubnika: ""Tjedan dana prije vjenčanja prevario sam je s najboljim prijateljem""",link,http://www.index.hr/black/clanak/ovo-su-ispovijesti-ljudi-koji-su-partnere-prevarili-sa-svojim-najboljim-prijateljima/924161.aspx,2016-10-06 15:50:36,33,6,0,24,2,4,0,1,2
107861655950370_1227679313968593,"Index Sport: HRVATSKA ZABILA ŠEST KOMADA

Velika pobjeda nogometaša i sramotno skandiranje navijača zbog kojeg će reprezentacija ponovno biti kažnjena.","HRVATSKA RAZBILA KOSOVO 6:0 Hat-trick Mandžukića, navijači sramotni",link,http://www.index.hr/sport/clanak/hat-trick-mandzukica-hrvatska-razbila-kosovo-50-navijaci-sramotni-/924038.aspx,2016-10-06 15:36:01,765,55,17,739,18,0,6,0,2
107861655950370_1227670913969433,Svi na stadionu su ostali šokirani! Kakva pogreška legende kod rezultata 0:0!,Index Sport,link,http://www.index.hr/sport/clanak/ovakvu-pogresku-buffona-nikad-niste-vidjeli-spanjolska-vodi-uz-pomoc-legendarnog-talijana/924158.aspx,2016-10-06 15:20:37,34,10,0,32,1,0,1,0,0
107861655950370_1227660170637174,Bijela ili plava?,Internet je opet poludio: Koje je boje ova torbica?,link,http://www.index.hr/black/clanak/internet-je-opet-poludio-koje-je-boje-ova-torbica/924151.aspx,2016-10-06 15:15:00,30,63,0,25,2,1,2,0,0
107861655950370_1227615847308273,"Na sudu se ne pojavljuje (pa joj prijeti privođenje), ali zato ima vremena na svom portalu pljuvati po ljudima koji je tuže.",Markićkin portal izmišljotinama napada ženu koja im tuži šeficu,link,http://www.index.hr/vijesti/clanak/markickin-portal-izmisljotinama-napada-zenu-koja-im-tuzi-seficu/924030.aspx,2016-10-06 15:00:01,69,39,1,33,3,0,4,4,25
107861655950370_1227615147308343,"Osnivač Wikileaksa već neko vrijeme najavljuje dramatično ""iznenađenje u listopadu"". Koje nikako da dođe.","""Trol"" Assange razočarao Trumpove fanove, ipak obećaje objaviti nove tajne dokumente do izbora",link,http://www.index.hr/vijesti/clanak/trol-assange-razocarao-trumpove-fanove-ipak-obecaje-objaviti-nove-tajne-dokumente-do-izbora/924125.aspx,2016-10-06 14:35:01,5,1,0,5,0,0,0,0,0
107861655950370_1227632097306648,SRAMOTA U ALBANIJI! HNS će ponovno biti kažnjen.,"Sramotno! Stadionom se ori zajednička pjesma Hrvata i Albanaca ""Ubij Srbina!""",link,http://www.index.hr/sport/clanak/sramotno-stadionom-se-ori-zajednicka-pjesma-hrvata-i-albanaca-ubij-srbina/924153.aspx,2016-10-06 14:27:02,1295,334,56,950,46,6,111,60,122
107861655950370_1227607457309112,"Ovo je urnebesno - ako ništa, mora mu se priznati da je bio prilično dosjetljiv :)","VIDEO Mafijaški boss uhvaćen nakon pet godina, nećete vjerovati gdje se skrivao",link,http://www.index.hr/vijesti/clanak/video-mafijaski-boss-uhvacen-nakon-pet-godina-necete-vjerovati-gdje-se-skrivao/924143.aspx,2016-10-06 14:15:00,39,2,1,36,0,0,3,0,0
107861655950370_1227605400642651,"Svoj ""slatki"" životopis dostavio je na 40 adresa i dobio - 10 razgovora za posao.",FOTO Genijalna ideja: Životopisom oduševio i internet i poslodavce,link,http://www.index.hr/black/clanak/foto-ovaj-mladic-kreativnim-zivotopisom-odusevio-je-internetom/924130.aspx,2016-10-06 14:15:00,94,3,1,91,3,0,0,0,0
107861655950370_1227614837308374,"Bravo, Mario!",Index Sport,link,http://www.index.hr/sport/clanak/mandzukic-zabio-nakon-cetiri-mjeseca/924150.aspx,2016-10-06 14:03:55,59,0,0,54,5,0,0,0,0
107861655950370_1227603857309472,"Zoran se, izgleda, ponovno zaljubio.",FOTO Zoran Mamić ostavio suprugu zbog zgodne 25-godišnje manekenke,link,http://www.index.hr/black/clanak/foto-zoran-mamic-ostavio-suprugu-zbog-zgodne-25godisnje-manekenke/924141.aspx,2016-10-06 14:00:00,200,63,4,142,3,6,28,4,17
107861655950370_1227593330643858,"Index Sport: Još malo je ostalo do početka utakmice, ali imate dovoljno vremena za pročitati našu reportažu s Kosova.",EKSKLUZIVNA REPORTAŽA S KOSOVA Kako je preživio nogomet u getu Europe,link,http://www.index.hr/sport/clanak/ekskluzivna-reportaza-s-kosova-kako-je-prezivio-nogomet-u-getu-europe-/924049.aspx,2016-10-06 13:38:19,13,1,0,13,0,0,0,0,0
